Rise and Puff - GUIDELINES,Drive - IMAGES,,,,,,,,,,,,,,,,
Week,Blog Type,Blog title,Primary Keyword,Secondary Keywords,Comments,Intern,Outline,Intern Status ,Blog ,AI,Edited On ,Date- Sent for Approval,Date Approved,QC (Kristi) ,Blog Status ,Blog Link ,Published date
,Informational + Lifestyle — top-of-funnel evergreen piece to position tortillas as an everyday staple,Tortilla-Based Meal Prep (5 Tortilla Meals for the Week),meal prep,"tortilla meal ideas, healthy tortilla recipes, high protein meal prep, quick tortilla meals, easy lunch wraps",,Priyaanshi ,OUTLINE: Tortilla-Based Meal Prep (5 Tortilla Meals for the Week),submitted,Tortilla-Based Meal Prep (5 Tortilla Meals for the Week),12,7,5th Nov,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/tortilla-meal-prep,19/11/25
,,,,,,,,,,,,,,,,,
Week,Blog Type,Blog title,Primary Keyword,Secondary Keywords,,,,,,,,,,,,,
Week 9,,,,,,,,,,,,,,,,,
,Seasonal How-To Guide with Recipe Variations & Party Planning Tips,Easy Thanksgiving Appetizers: High-Protein Quesadilla Bar Ideas,thanksgiving appetizers,"easy thanksgiving appetizers, finger foods, quesadilla bar ideas, thanksgiving potluck ideas, thanksgiving party food",,Shalini,OUTLINE: Easy Thanksgiving Appetizers: High-Protein Quesadilla Bar Ideas,submitted,Easy Thanksgiving Appetizers: High-Protein Quesadilla Bar Ideas,,,15th Nov,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/thanksgiving-quesadilla-appetizers,21/11/25
,Health-Focused Educational Guide with Glycemic Index Charts & Blood Sugar Management Tips,Diabetic-Friendly Quesadillas: Low Glycemic Foods That Taste Great,low glycemic foods,"low glycemic foods, low glycemic index foods, diabetic friendly recipes, quesadillas for diabetics, low blood sugar meals, diabetes meal ideas",,Shalini,OUTLINE: Diabetic-Friendly Quesadillas: Low Glycemic Foods That Taste Great,submitted,Diabetic-Friendly Quesadillas: Low Glycemic Foods That Taste Great,,,15th Nov,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/diabetic-friendly-quesadillas,26/11/25
Week 10,,,,,,,,,,,,,,,,,
,Cultural Deep-Dive with Historical Timeline & Regional Food Guide,What is Tex Mex Cuisine? The Story Behind America's Favorite Fusion Food,tex mex,"tex mex vs mexican food, origin of tex mex, traditional tex mex recipes, best tex mex foods, tex mex ingredients, popular tex mex dishes",,Shalini,OUTLINE: What is Tex-Mex Cuisine,submitted,What is Tex Mex Cuisine,,,15th Nov,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/tex-mex-cuisine-guide,28/11/25
,Ingredient Deep-Dive with Oil Comparison Chart & Health Research,Avocado Oil vs Olive Oil: The Healthiest Choice for Your Tortillas,avocado oil vs olive oil,"healthiest tortillas, avocado oil vs olive oil, best cooking oil, tortillas made with avocado oil, avocado oil nutrition",,Shalini,OUTLINE: Avocado Oil vs Olive Oil: The Healthiest Choice for Your Tortillas,submitted,Avocado Oil vs Olive Oil: The Healthiest Choice for Your Tortillas,,,15th Nov,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/avocado-vs-olive-oil-for-tortillas,3/12/25
Week 11,,,,,,,,,,,,,,,,,
CHRISTMAS BLOG,Seasonal Recipe Roundup with Time-Saving Holiday Morning Schedule,Christmas Morning Breakfast Ideas: Quick High-Protein Meals for Busy Families,christmas breakfast ideas,"quick christmas breakfast, healthy christmas breakfast, christmas brunch ideas, christmas morning traditions, holiday breakfast recipes",,Jasmin ,OUTLINE: Christmas Morning Breakfast Ideas: Quick High-Protein Meals for Busy Families,submitted,Christmas Morning Breakfast Ideas: Quick High-Protein Meals for Busy Families,7%,8,1st Dec,2nd Dec,,published ,https://riseandpuff.com/blogs/rise-puff-blog/christmas-morning-breakfast,5/12/25
,Comprehensive Guide with Carb Comparison Charts & Keto Meal Planning Integration,Keto Tortillas: Your Complete Guide to Low-Carb Wraps That Actually Taste Good,keto tortillas,"low carb tortillas, keto friendly tortillas, best keto tortillas, carb free tortillas, tortillas on keto diet, how many carbs in tortillas, keto tortilla recipe, net carbs in tortillas, keto quesadilla, tortilla carb count",,Jasmin ,OUTLINE: Keto Tortillas: Your Complete Guide to Low-Carb Wraps That Actually Taste Good,submitted,Keto Tortillas: Your Complete Guide to Low-Carb Wraps That Actually Taste Good,3%,7.5,1st Dec,2nd Dec,,published ,https://riseandpuff.com/blogs/rise-puff-blog/keto-tortillas-guide,10/12/25
Week 12,,,,,,,,,,,,,,,,,
,Comprehensive Educational Guide with Nutritional Analysis & Fitness Integration,High Protein Meals: The Complete Guide to 20g+ Protein Quesadillas,high protein meals,"20 grams protein meals, protein packed meals, quesadilla nutrition facts, best protein for muscle gain, protein per serving, macros for muscle building, post workout meals, high protein snacks, protein for weight loss",,Jasmin ,OUTLINE: High Protein Meals: The Complete Guide to 20g+ Protein Quesadillas,submitted,High Protein Meals: The Complete Guide to 20g+ Protein Quesadillas,13%,8.5,1st Dec,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/high-protein-quesadillas,12/12/25
,Educational Explainer with Ingredient Breakdown & Label Reading Guide,Clean Ingredient Tortillas: What They Are and Why They Matter,clean eating,"healthy tortillas, clean ingredients meaning, tortilla ingredients list, preservative free tortillas, whole food ingredients, clean label foods, simple ingredients",,Jasmin ,OUTLINE: Clean Ingredient Tortillas: What They Are and Why They Matter,submitted,Clean Ingredient Tortillas: What They Are and Why They Matter,13%,8.5,1st Dec,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/clean-ingredient-tortillas,17/12/25
Week 13,,,,,,,,,,,,,,,,,
NEW YEAR BLOG,Recipe roundup with time-saving party planning guide,New Year's Eve Party Food: Quick Appetizers for a Crowd,new years eve appetizers,"easy party appetizers, quick appetizers for party, new years food ideas, last minute appetizers, crowd pleasing appetizers",,Jasmin ,OUTLINE: New Year's Eve Party Food: Quick Appetizers for a Crowd,submitted,New Year's Eve Party Food: Quick Appetizers for a Crowd,,,8th Dec,9th Dec,,published ,https://riseandpuff.com/blogs/rise-puff-blog/nye-party-appetizers,26/12/25
,Step-by-step meal planning guide with calorie breakdowns,Meal Prep for Weight Loss: High-Protein Quesadilla Guide,meal prep for weight loss,"high protein meal prep, weight loss meal ideas, meal prep recipes healthy, weekly meal prep ideas, protein meal prep",,Jasmin ,OUTLINE: Meal Prep for Weight Loss: High-Protein Quesadilla Guide,submitted,Meal Prep for Weight Loss: High-Protein Quesadilla Guide,,,8th Dec,9th Dec,,published ,https://riseandpuff.com/blogs/rise-puff-blog/meal-prep-weight-loss-quesadillas,31/12/25
Week 14,,,,,,,,,,,,,,,,,
,Educational guide explaining macro ratios with practical examples,Balanced Meals Made Easy: The Protein-Carb-Fat Formula,balanced meal ideas,"macro balanced meals, protein carb fat ratio, how to balance macros, healthy balanced meals, macronutrient balance",,Jasmin ,OUTLINE: Balanced Meals Made Easy: The Protein-Carb-Fat Formula,submitted,Balanced Meals Made Easy: The Protein-Carb-Fat Formula,,,8th Dec,9th Dec,,published ,https://riseandpuff.com/blogs/rise-puff-blog/balanced-meals-macronutrient-formula,19/12/25
,Cost comparison analysis with meal prep strategies,Healthy Lunch Ideas for Work: Pack vs. Buy Analysis,healthy lunch ideas for work,"work lunch meal prep, pack lunch ideas, office lunch ideas, quick healthy lunches, meal prep lunch",,Jasmin ,OUTLINE: Healthy Lunch Ideas for Work: Pack vs. Buy Analysis,submitted,Healthy Lunch Ideas for Work: Pack vs. Buy Analysis,,,8th Dec,9th Dec,,published ,https://riseandpuff.com/blogs/rise-puff-blog/healthy-work-lunch-ideas,24/12/25
Week 15,,,,,,,,,,,,,,,,,
,Ingredient comparison guide with brand analysis,What Makes a Healthy Tortilla? Ingredient Breakdown,healthy tortillas,"best tortillas for weight loss, low carb tortillas, whole wheat tortillas, clean ingredient tortillas, healthiest tortilla brands",,Jasmin ,OUTLINE: What Makes a Healthy Tortilla? Ingredient Breakdown,submitted,What Makes a Healthy Tortilla? Ingredient Breakdown,,,,,,,,
,Actionable swap guide with before/after comparisons,Clean Eating Meal Prep: 7 Simple Swaps for Healthier Meals,clean eating meal prep,"clean eating recipes, clean eating for beginners, healthy food swaps, meal prep ideas clean eating, whole food meal prep",,Jasmin ,OUTLINE: Clean Eating Meal Prep: 7 Simple Swaps for Healthier Meals,submitted,Clean Eating Meal Prep: 7 Simple Swaps for Healthier Meals,,,6th Jan,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/clean-eating-meal-prep,9/1/26
Week 16,,,,,,,,,,,,,,,,,
,Game day menu planner with crowd-size calculations,NFL Playoff Food Ideas: Game Day Quesadillas,playoff party food ideas,"game day food ideas, football party food, NFL party snacks, easy football food, sports party appetizers",,Shailini ,OUTLINE:NFL Playoff Food Ideas: Game Day Quesadillas,submitted,NFL Playoff Food Ideas: Game Day Quesadillas,,,14th Jan ,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/playoff-quesadilla-recipes,17/1/26
,Research-based educational guide with scientific citations,High Protein Diet Benefits: Science-Backed Guide,high protein diet benefits,"benefits of protein, high protein diet plan, protein for weight loss, how much protein daily, high protein foods",,Jasmin ,OUTLINE: High Protein Diet Benefits: Science-Backed Guide,submitted,High Protein Diet Benefits: Science-Backed Guide,,,6th Jan,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/high-protein-diet-benefits,15/1/26
Week 17,,,,,,,,,,,,,,,,,
,Quick recipe collection with 30-minute party solutions,Super Bowl Appetizers Easy: Last-Minute Party Food,super bowl appetizers easy,"super bowl party food ideas, last minute super bowl food, quick super bowl snacks, football party appetizers, game day appetizers",,Jasmin ,OUTLINE: Super Bowl Appetizers Easy: Last-Minute Party Food,submitted,Super Bowl Appetizers Easy: Last-Minute Party Food,,,14th Jan ,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/easy-super-bowl-appetizers-last-minute,28/1/26
VDAY,Date night menu guide with atmosphere tips,Easy Valentine's Day Dinner Ideas at Home,valentines day dinner ideas,"romantic dinner at home, valentines day recipes, date night dinner ideas, easy valentines dinner, romantic meal ideas",,Jasmin ,OUTLINE: Easy Valentine's Day Dinner Ideas at Home,submitted,Easy Valentine's Day Dinner Ideas at Home,,,14th Jan ,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/easy-valentines-day-dinner,21/1/26
Week 18,,,,,,,,,,,,,,,,,
,Visual educational guide with label decoding tutorial,How to Read Nutrition Labels: Clean Eating Guide,how to read nutrition labels,"reading food labels, understanding nutrition facts, food label guide, nutrition label explained, ingredient list reading",,Shrishti ,OUTLINE: How to Read Nutrition Labels: Clean Eating Guide,submitted,How to Read Nutrition Labels: Clean Eating Guide,,,30th Jan ,30th Jan ,,published ,https://riseandpuff.com/blogs/rise-puff-blog/how-to-read-nutrition-labels,30/1/26
,Science-based recovery guide with timing recommendations,Post Workout Meals: What to Eat for Recovery,post workout meal,"what to eat after workout, post workout food, muscle recovery meals, after gym meal, post exercise nutrition",,Shrishti ,OUTLINE: Post Workout Meals: What to Eat for Recovery,submitted,Post Workout Meals: What to Eat for Recovery,,,30th Jan ,30th Jan ,,published ,https://riseandpuff.com/blogs/rise-puff-blog/post-workout-meal-guide,4/2/26
Week 19,,,,,,,,,,,,,,,,,
,Meal Planning Guide/Listicle: Focus on quesadillas & potpies,Easy Freezer Meals for Two: A Couple's Guide to Stress-Free Weeknight Eating,easy freezer meals for two,"freezer meals for couples, quick freezer dinners for two, best frozen meals for two people, healthy freezer meals small portions",,,,,,,,,,,,,
,Tutorial/Recipe Guide,Quick & Easy High-Protein Breakfast Burrito Recipes,high protein breakfast burrito,"high protein breakfast burrito recipe, protein breakfast burrito meal prep, high protein breakfast wrap, freezer breakfast burritos high protein, meal prep high protein breakfast",,Jasmin ,OUTLINE: Quick & Easy High-Protein Breakfast Burrito Recipes,submitted,Quick & Easy High-Protein Breakfast Burrito Recipes,,,,,,,,
Week 20,,,,,,,,,,,,,,,,,
VDAY,Recipe Roundup + Step-by-Step Guide,Romantic Breakfast in Bed Ideas: Easy Recipes to Surprise Your Partner,romantic breakfast in bed ideas,"breakfast in bed ideas for couples
easy romantic breakfast recipes
surprise breakfast in bed ideas
what to make for breakfast in bed",,Jasmin ,OUTLINE: Romantic Breakfast in Bed Ideas: Easy Recipes to Surprise Your Partner,submitted,Romantic Breakfast in Bed Ideas: Easy Recipes to Surprise Your Partner,,,Jan 21st ,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/romantic-breakfast-in-bed-ideas,23/1/26
Week 21,,,,,,,,,,,,,,,,,
,Educational Deep-Dive + Buying Guide,Are Flour Tortillas Healthy? Complete Nutrition Guide & What to Look For,flour tortilla nutrition,"are flour tortillas healthy
flour tortilla nutrition facts
calories in flour tortillas
healthiest flour tortillas to buy",,,,,,,,,,,,,
,Recipe Roundup/All-Day Meal Guide: focus on gluten free tortilla,Gluten Free Wrap Recipes: Easy Ideas from Breakfast to Dinner,Best Gluten Free Wraps,"easy gluten free wrap recipes, healthy gluten free wrap ideas, gluten free tortilla recipes, gluten free breakfast wraps, gluten free lunch wraps, gluten free dinner wraps",,,,,,,,,,,,,
Week 22,,,,,,,,,,,,,,,,,
,Recipe Roundup/Lifestyle Guide - focus on breakfast quesadillas,Frozen Breakfast Quesadillas: High-Protein Breakfast Options for Busy Mornings,frozen breakfast quesadillas,"freezer breakfast quesadillas, high protein breakfast quesadilla, breakfast quesadilla meal prep, frozen breakfast quesadilla recipe, quick breakfast quesadilla",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Recipe Guide,Best Ways to Cook with Avocado Oil,cooking with avocado oil,"avocado oil cooking temperature, what to cook with avocado oil, avocado oil recipes, best uses for avocado oil",,,,,,,,,,,,,
,Recipe Roundup,Flour Tortillas vs Corn Tortillas: Complete Nutrition & Usage Guide,flour vs corn tortillas ,"corn or flour tortillas healthier, difference between flour and corn tortillas, which tortilla is better, flour tortilla vs corn nutrition",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Educational,Ultimate Guide to Street Taco Recipes: 8 Authentic Varieties,street taco recipes,"authentic mexican street tacos
how to make street tacos
best street taco fillings
mexican taco recipes authentic",,Jermey,OUTLINE: Ultimate Guide to Street Taco Recipes: 8 Authentic Varieties,submitted,Ultimate Guide to Street Taco Recipes: 8 Authentic Varieties,,23rd Feb ,,,,,,
,Step-by-Step Recipe Tutorial + Variations Guide,Best Beef Burrito Recipe: Easy Homemade Burritos,beef burrito recipe,"how to make beef burritos at home
homemade beef burrito recipe
easy beef burrito recipe
ground beef burrito recipe",,Jermey,OUTLINE: Best Beef Burrito Recipe: Easy Homemade Burritos,submitted,Best Beef Burrito Recipe: Easy Homemade Burritos,,23rd Feb ,,,,,,
,,,,,,,,,,,,,,,,,
,,Air Fryer Quesadilla Guide: Perfect Crispy Results Every Time,air fryer quesadilla,"how to cook quesadilla in air fryer
frozen quesadilla air fryer
air fryer quesadilla time
crispy quesadilla air fryer",,Jermey,OUTLINE: Air Fryer Quesadilla Guide: Perfect Crispy Results Every Time,submitted,Air Fryer Quesadilla Guide: Perfect Crispy Results Every Time,,24th Feb,,,,,,
tortilla chip day,,"The Best Dips & Toppings for Tortilla Chips (Easy, Crowd-Pleasing Recipes)",dips for tortilla chips,"best dip for tortilla chips
easy chip dips
homemade tortilla chip dip
tortilla chips dip ideas",,Jermey,"National Tortilla Chip Day: The Best Dips, Toppings & Ways to Celebrate",submitted,"National Tortilla Chip Day: The Best Dips, Toppings & Ways to Celebrate",,24th Feb,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,15-Minute Weeknight Dinner Wraps: Quick Family Meals,quick weeknight dinners,,,,,,,,,,,,,,
,,St. Patrick's Day Green Tortilla Recipes: 6 Creative Ideas,st patricks day appetizers,"green food ideas st patricks
st patricks day finger food
irish appetizer recipes
green party food ideas",,Malvika ,OUTLINE: St. Patrick's Day Green Tortilla Recipes: 6 Creative Ideas,submitted,St. Patrick's Day Green Tortilla Recipes: 6 Creative Ideas,,16thFeb,17th Feb,,,sent for approval,,
,,Mardi Gras Party Appetizers: Cajun-Inspired Quesadilla Recipes,mardi gras appetizers,"cajun quesadilla recipe
mardi gras party food
new orleans inspired appetizers
easy mardi gras recipes",,Malvika ,OUTLINE: Mardi Gras Party Appetizers: Cajun-Inspired Quesadilla Recipes,submitted,Mardi Gras Party Appetizers: Cajun-Inspired Quesadilla Recipes,,16thFeb,17th Feb,,,sent for approval,,
,,,,,,,,,,,,,,,,,
,,Mediterranean Wrap Recipes: 7 Fresh & Healthy Lunch Ideas,mediterranean wrap recipes,"healthy lunch wrap ideas
greek wrap recipe
mediterranean diet lunch recipes
veggie wrap recipes healthy",,Malvika ,OUTLINE: Mediterranean Wrap Recipes: 7 Fresh & Healthy Lunch Ideas,submitted,Mediterranean Wrap Recipes: 7 Fresh & Healthy Lunch Ideas,,16thFeb,17th Feb,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/mediterranean-wrap-recipes-healthy-lunch-ideas,18/2/26
,,10 Healthy Breakfast Burrito Recipes Under 400 Calories,healthy breakfast burrito recipes,"low calorie breakfast burritos
protein breakfast wrap ideas
meal prep breakfast burritos
easy healthy breakfast tortilla",,Malvika ,OUTLINE: 10 Healthy Breakfast Burrito Recipes Under 400 Calories,submitted,10 Healthy Breakfast Burrito Recipes Under 400 Calories,,16thFeb,17th Feb,,,published ,https://riseandpuff.com/blogs/rise-puff-blog/healthy-breakfast-burrito-recipes,20/2/26
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
video copy,,"Hot Honey Chicken Wrap: A Healthy, High-Protein Lunch You'll Make on Repeat",hot honey chicken wrap,"healthy chicken wrap
high protein wrap recipe
chicken wrap lunch ideas
easy healthy wraps",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Do Flour Tortillas Have Gluten? What Gluten-Free Shoppers Actually Need to Know,do flour tortillas have gluten," *  are corn tortillas gluten free      9,900 vol   KD 15
  *  gluten free tortillas               18,100 vol  KD 37
  *  do corn tortillas have gluten        4,400 vol   KD 12
  *  healthy tortillas                    5,400 vol   KD 22",,,,,,,,,,,,,
,,"How to Prepare Tortillas for Tacos the Right Way (Warm, Pliable, and Ready to Fill)",how to prepare tortillas for tacos,"  *  flour tortilla recipe     49,500 vol  KD 47
  *  how to make tortillas     12,100 vol  KD 45
  *  homemade tortillas        27,100 vol  KD 49
  *  tortilla recipe           49,500 vol  KD 54",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Tortilla Nutrition Value: What Is Actually in Your Tortilla Per Serving?,tortilla nutrition value,"  *  corn tortilla calories          6,600 vol  KD 19
  *  corn tortilla nutrition         5,400 vol  KD 18
  *  low carb tortillas             27,100 vol  KD 29
  *  high protein low calorie foods 27,100 vol  KD 40",,,,,,,,,,,,,
,,"Easy One Pan Dinner Recipes Using Tortillas (Less Mess, More Flavor)",easy one pan dinner recipes,"  *  easy weeknight dinners          27,100 vol  KD 42
  *  easy dinner ideas for family    33,100 vol  KD 43
  *  family dinner ideas             27,100 vol  KD 41
  *  chicken dinner ideas            49,500 vol  KD 48",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Quesadilla Seasoning Recipe: The Spice Blend That Makes Every Quesadilla Better,quesadilla seasoning recipe,"  *  quesadilla recipe               27,100 vol  KD 58
  *  chicken quesadilla recipe       33,100 vol  KD 51
  *  how to make a quesadilla         8,100 vol  KD 44
  *  best cheese for quesadillas      6,042 impressions (GSC pos 4.2)",,,,,,,,,,,,,
,,Healthy Easy to Make Desserts Using Tortillas (Ready in 15 Minutes or Less),healthy easy to make desserts,"  *  dessert recipes          49,500 vol  KD 44
  *  easy desserts            18,100 vol  KD 41
  *  easy dessert recipes     49,500 vol  KD 60
  *  healthy sweet treats      8,100 vol  KD 27",,,,,,,,,,,,,
